ID,id_rechov,me_k_rechov,me_shem_rechov,ad_k_rechov,ad_shem_rechov,tr_from,tr_to,k_sug,t_sug,k_sgira,shaot,sw_laila
444,490,41,בני ברק,40,ראש פינה,28/07/2013 0:00,26/09/2013 0:00,15,שיקום מדרכה,2,08:30-17:00 ,0
445,2662,2106,אשכול לוי,496,אבן גבירול,08/06/2019 0:00,08/06/2019 0:00,5,ארוע,2,04:00-13:00 טריאתלון,1
446,1406,203,התערוכה,200,הרברט סמואל,13/04/2016 0:00,13/04/2016 0:00,5,ארוע,2,18:00-23:00 ארוע מרוץ נשים 13.4.16 משעה 18:00 עד 23:00,1
447,1984,25,בן יהודה,406,המלך ג'ורג',22/10/2017 0:00,02/11/2017 0:00,4,קרצוף וסלילה,1,21:00-05:00 א - ד,1
448,1189,8,רוטשילד,496,אבן גבירול,20/10/2015 0:00,21/10/2015 0:00,5,ארוע,2,19:00-00:01 ארוע מרוץ לילה 2015,1
449,4214,804,רפידים,802,רוזן פנחס,15/08/2021 0:00,29/08/2021 0:00,21,"נת""ע – הרכבת הקלה",2,19:00-19:00 חסימת רחוב שיטרית לטובת ביצוע קו ניקוז .  לבאים מרחוב רוקח, תתאפשר נסיעה מזרחה לשיטרית .
450,798,191,שלמה המלך,496,אבן גבירול,08/11/2014 0:00,08/11/2014 0:00,5,ארוע,2,17:00-23:30 ,1
451,804,34,מטלון,33,וולפסון,11/11/2014 0:00,26/02/2015 0:00,1,שיפור תשתיות מדרכות וכביש,2,,0
452,1928,1257,קרן קיימת לישראל,2130,שיטרית בכור,11/10/2017 0:00,11/10/2017 0:00,5,ארוע,2,"04:00-13:00 אירוע סובב ת""א מסע אופניים 11.10.2017 יום רביעי חוה""מ משעה 04:00 לפנה""ת עד 13:00 בצהריים.",1
453,2505,477,בני דן,478,פנקס דוד צבי,13/11/2018 0:00,13/11/2018 0:00,5,ארוע,2,18:00-00:00 מרוץ לילה,1
454,2771,496,אבן גבירול,193,ארלוזורוב,30/10/2019 0:00,30/10/2019 0:00,23,ארוע מרתון,2,19:00-00:00 ,1
455,945,788,שאול המלך,478,פנקס דוד צבי,15/03/2015 0:00,15/03/2015 0:00,5,ארוע,2,,0
456,2372,27,הירקון,2051,רוקח ישראל,28/06/2018 0:00,29/06/2018 0:00,5,ארוע,2,21:00-05:00 ארוע לילה לבן-חסימה לפי הצורך,1
457,4366,4001,"אצ""ל",3843,"לח""י",01/09/2022 0:00,22/09/2022 0:00,10,שיפור תשתיות,2,09:00-17:00 פרויקט מצוות סגירה הרמטית,0
458,2882,8,רוטשילד,27,הירקון,28/02/2020 0:00,28/02/2020 0:00,23,ארוע מרתון,2,04:00-11:30 ,1
459,2989,48,ברזילי,4,אלנבי,21/06/2020 0:00,24/06/2020 0:00,4,קרצוף וסלילה,1,,0
460,1611,54,בגין מנחם,31,פרנקל ידידיה,05/10/2016 0:00,30/11/2016 0:00,16,שרוול קו ביוב,1,22:00-05:00 ,1
461,4439,635,לה גוארדיה,1185,ישראל טל,06/01/2023 0:00,13/02/2023 0:00,10,שיפור תשתיות,3,07:00-07:00 פרויקט שדרת הקריה - הפיכת רחוב המסגר לחד סיטרי לכיוון צפון בלבד,0
462,2887,445,קפלן אליעזר,71,מרמורק,28/02/2020 0:00,28/02/2020 0:00,23,ארוע מרתון,2,04:00-11:30 ,1
463,4443,4008,דעואל,0,0,06/02/2023 0:00,23/02/2023 0:00,21,"נת""ע – הרכבת הקלה",2,07:00-22:00 ביצוע קו ניקוז , חסימה מלאה
464,1939,414,שלמה,2,הרצל,11/10/2017 0:00,11/10/2017 0:00,5,ארוע,2,"04:00-13:00 אירוע סובב ת""א מסע אופניים 11.10.2017 יום רביעי חוה""מ משעה 04:00 לפנה""ת עד 13:00 בצהריים.",1
